time(microsec),distance(cm),time(sec),distance(m),velocity(m/s)
426,7,0.000426,0.07,164.3192488
441,7,0.000441,0.07,158.7301587
538,9,0.000538,0.09,167.2862454
446,7,0.000446,0.07,156.9506726
499,8,0.000499,0.08,160.3206413
383,6,0.000383,0.06,156.6579634
429,7,0.000429,0.07,163.1701632
542,9,0.000542,0.09,166.0516605
644,10,0.000644,0.1,155.2795031
628,10,0.000628,0.1,159.2356688
576,9,0.000576,0.09,156.25
661,11,0.000661,0.11,166.4145234
562,9,0.000562,0.09,160.1423488
482,8,0.000482,0.08,165.9751037
573,9,0.000573,0.09,157.0680628
794,13,0.000794,0.13,163.7279597
520,8,0.00052,0.08,153.8461538
440,7,0.00044,0.07,159.0909091
468,7,0.000468,0.07,149.5726496
469,7,0.000469,0.07,149.2537313
451,7,0.000451,0.07,155.210643
650,11,0.00065,0.11,169.2307692
722,12,0.000722,0.12,166.2049861
423,7,0.000423,0.07,165.4846336
700,11,0.0007,0.11,157.1428571
608,10,0.000608,0.1,164.4736842
721,12,0.000721,0.12,166.4355062
1098,18,0.001098,0.18,163.9344262
924,15,0.000924,0.15,162.3376623
474,8,0.000474,0.08,168.7763713
569,9,0.000569,0.09,158.172232
409,6,0.000409,0.06,146.6992665
497,8,0.000497,0.08,160.9657948
469,7,0.000469,0.07,149.2537313
474,8,0.000474,0.08,168.7763713
548,9,0.000548,0.09,164.2335766
492,8,0.000492,0.08,162.601626
514,8,0.000514,0.08,155.6420233
542,9,0.000542,0.09,166.0516605
552,9,0.000552,0.09,163.0434783
482,8,0.000482,0.08,165.9751037
450,7,0.00045,0.07,155.5555556
560,9,0.00056,0.09,160.7142857
486,8,0.000486,0.08,164.6090535
573,9,0.000573,0.09,157.0680628
583,9,0.000583,0.09,154.373928
644,10,0.000644,0.1,155.2795031
562,9,0.000562,0.09,160.1423488
569,9,0.000569,0.09,158.172232
594,10,0.000594,0.1,168.3501684
577,9,0.000577,0.09,155.9792028
574,9,0.000574,0.09,156.7944251
604,10,0.000604,0.1,165.5629139
608,10,0.000608,0.1,164.4736842
619,10,0.000619,0.1,161.5508885
595,10,0.000595,0.1,168.0672269
591,10,0.000591,0.1,169.2047377
601,10,0.000601,0.1,166.3893511
629,10,0.000629,0.1,158.9825119
570,9,0.00057,0.09,157.8947368
598,10,0.000598,0.1,167.2240803
580,9,0.00058,0.09,155.1724138
579,9,0.000579,0.09,155.4404145
577,9,0.000577,0.09,155.9792028
629,10,0.000629,0.1,158.9825119
674,11,0.000674,0.11,163.2047478
559,9,0.000559,0.09,161.0017889
577,9,0.000577,0.09,155.9792028
573,9,0.000573,0.09,157.0680628
581,9,0.000581,0.09,154.9053356
555,9,0.000555,0.09,162.1621622
534,9,0.000534,0.09,168.5393258
528,8,0.000528,0.08,151.5151515
556,9,0.000556,0.09,161.8705036
556,9,0.000556,0.09,161.8705036
590,10,0.00059,0.1,169.4915254
594,10,0.000594,0.1,168.3501684
500,8,0.0005,0.08,160
476,8,0.000476,0.08,168.0672269
395,6,0.000395,0.06,151.8987342
395,6,0.000395,0.06,151.8987342
1001,17,0.001001,0.17,169.8301698
1137,19,0.001137,0.19,167.1064204
1036,17,0.001036,0.17,164.0926641
1067,18,0.001067,0.18,168.6972821
850,14,0.00085,0.14,164.7058824
363,6,0.000363,0.06,165.2892562
408,6,0.000408,0.06,147.0588235
485,8,0.000485,0.08,164.9484536
545,9,0.000545,0.09,165.1376147
546,9,0.000546,0.09,164.8351648
504,8,0.000504,0.08,158.7301587
1838,31,0.001838,0.31,168.6615887
1204,20,0.001204,0.2,166.1129568
759,12,0.000759,0.12,158.1027668
507,8,0.000507,0.08,157.790927
187,3,0.000187,0.03,160.4278075
212,3,0.000212,0.03,141.509434
212,3,0.000212,0.03,141.509434
212,3,0.000212,0.03,141.509434
212,3,0.000212,0.03,141.509434
212,3,0.000212,0.03,141.509434
206,3,0.000206,0.03,145.631068
212,3,0.000212,0.03,141.509434
212,3,0.000212,0.03,141.509434
212,3,0.000212,0.03,141.509434
212,3,0.000212,0.03,141.509434
212,3,0.000212,0.03,141.509434
213,3,0.000213,0.03,140.8450704
206,3,0.000206,0.03,145.631068
212,3,0.000212,0.03,141.509434
212,3,0.000212,0.03,141.509434
213,3,0.000213,0.03,140.8450704
212,3,0.000212,0.03,141.509434
212,3,0.000212,0.03,141.509434
212,3,0.000212,0.03,141.509434
206,3,0.000206,0.03,145.631068
212,3,0.000212,0.03,141.509434
212,3,0.000212,0.03,141.509434
212,3,0.000212,0.03,141.509434
296,5,0.000296,0.05,168.9189189
580,9,0.00058,0.09,155.1724138
913,15,0.000913,0.15,164.2935378
863,14,0.000863,0.14,162.2247972
584,9,0.000584,0.09,154.109589
280,4,0.00028,0.04,142.8571429
303,5,0.000303,0.05,165.0165017
279,4,0.000279,0.04,143.3691756
244,4,0.000244,0.04,163.9344262
261,4,0.000261,0.04,153.256705
237,4,0.000237,0.04,168.7763713
237,4,0.000237,0.04,168.7763713
251,4,0.000251,0.04,159.3625498
251,4,0.000251,0.04,159.3625498
244,4,0.000244,0.04,163.9344262
241,4,0.000241,0.04,165.9751037
353,6,0.000353,0.06,169.9716714
591,10,0.000591,0.1,169.2047377
591,10,0.000591,0.1,169.2047377
531,9,0.000531,0.09,169.4915254
583,9,0.000583,0.09,154.373928
637,10,0.000637,0.1,156.9858713
682,11,0.000682,0.11,161.2903226
716,12,0.000716,0.12,167.5977654
710,12,0.00071,0.12,169.0140845
591,10,0.000591,0.1,169.2047377
507,8,0.000507,0.08,157.790927
503,8,0.000503,0.08,159.0457256
415,7,0.000415,0.07,168.6746988
394,6,0.000394,0.06,152.284264
335,5,0.000335,0.05,149.2537313
289,4,0.000289,0.04,138.4083045
328,5,0.000328,0.05,152.4390244
282,4,0.000282,0.04,141.8439716
272,4,0.000272,0.04,147.0588235
289,4,0.000289,0.04,138.4083045
566,9,0.000566,0.09,159.0106007
518,8,0.000518,0.08,154.4401544
289,4,0.000289,0.04,138.4083045
304,5,0.000304,0.05,164.4736842
307,5,0.000307,0.05,162.8664495
332,5,0.000332,0.05,150.6024096
314,5,0.000314,0.05,159.2356688
317,5,0.000317,0.05,157.7287066
345,5,0.000345,0.05,144.9275362
